1000,water pipe replacement cost todd water pipe replacement costs. $398000. original cost phase 1 2 $438114. current cost (includes phase 1 & 2) $191546. contract balance complete phase 2 house plans plumbing accurate due years random patch repairs. engineers made estimates pipes ran until walls open up guess: extra costs resulted expected case. accurate plans result project well new pipes throughout house. phase 2 begin according needs governor first family; once begins house water duration 2 1/2 month project a liveable condition. haven t changed june 1st start date i d wait until hear mike nizich before set anything motion; probably there s a date set spec. session. thanks erika erika fagerstrom executive residence manager governor s house state ofalaska office governor 716 calhoun avenue juneau alaska 99801 phone: 907465-3500; fax: 907465-2031 roston 01764 10/14/2009 released msnbc.com state alaska presented crivella west 
1001,cell phone reimbursement commissioner reimbursements available personal cell phones? much monthly reimbursement? gotten opinion law reimbursement contract state employees turn receive reimbursement? 8 roston 01772 released msnbc.com state alaska presented crivella west 
1002,travel fri. 3/28 todd first class friday s flight willow coach row 6 (bulkhead). want keep upgrade sit back willow? thanks e erika fagerstrom executive residence manager governor s house state ofalaska office governor 716 calhoun avenue juneau alaska 99801 phone: 907465-3500; fax: 907465-2031 roston 01773 10/14/2009 released msnbc.com state alaska presented crivella west 
1003,romer 1 roston 01774 released msnbc.com state alaska presented crivella west romers mailing address thanks todd z roston 01775 released msnbc.com state alaska presented crivella west 
1004,flight information: friday march 28th travel jnu-anc. fit. 67 todd here s flight information. i ll boarding passes printed copier. jnu-anc flt. 67 dep. 8:11 pm. arr. 10:02pm. seats: todd-1st class /willow- 6d conf. codes todd: dnyaii / willow: hekxpw thanks erika erika fagerstrom executive residence manager governor s house state ofalaska office governor 716 calhoun avenue juneau alaska 99801 phone: 907465-3500; fax: 907-465-2031 roston 01776 10/14/2009 released msnbc.com state alaska presented crivella west 
1005,educ.comm. thompson- request attend anchorage mtg.on drop out issue fri. 4/18 (10-2pm.) todd lynn smith sent request. commissioner thompson wondering interested attending a meeting anchorage april 18 regarding drop out issue. approximately 10:00 - 2:00. attendees include commissioner thompson carl rose (aasb) carol comeau nea representative up 10 - 12 people. barbara give additional information need. interested attending follow up later? thanks erika erika fagerstrom executive residence manager governor s house state ofalaska office governor 716 calhoun avenue juneau alaska 99801 phone: 907-465-3500; fax. 907-465-2031 roston 01777 10/14/2009 released msnbc.com state alaska presented crivella west 
1006,fyi- rsvp spouses luncheon friday march 28 2008 12:00 1:30pm. hello everyone here guest list luncheon well a list those regretted. barbara olson s (rep. kurt olson) attendance pending; i ll know a decision made. thank everyone s help coordinating event! erika lauren- jim powell originally regretted office called later attending. erika fagerstrom executive residence manager governor s house state ofalaska ofce governor 716 calhoun avenue juneau alaska 99801 phone: 907465-3500; fax.: 907-465-2031 roston 01778 10/14/2009 released msnbc.com state alaska presented crivella west spouses luncheon friday march 28 2008 12:00-1:30pm. guest list total: 24-26 governor palin 4 todd palin kris perry ivy frye cabinet spouses 3 rich jackson ken kreitzer laurie lindsey (fiance comm. lloyd) 2008 legislative spouses 17-19 mrs. rita stevens mrs. marylou elton mrs. lillian hoffman mrs. willow olson (rep.donny olson) mrs. luann coghill mrs. gayle keller mrs. cherie kelly mrs. barbara olson pending invite sister/ staff contact: mona 465-2693 / i ll call w . decision mrs. beverly roses mrs. tina seaton mrs. peggy french mr. jim powell (rep.kerttula) mrs. gwen perry-crawford mrs. kathy doogan mrs. melody edgmon mrs. kayla epstein (rep.gruenberg) mr. joe nelson mr. sid atwood (rep. cissna) roston 01779 10/14/2009 released msnbc.com state alaska presented crivella west regrets - attending cabinet spouses darlene bishop debbie von scheben sharon irwin sandra schmidt terry monegan lorena notti alyse galvin ann marie campbell krystyna colberg single: comm. thompson comm. hartig legislative spouses mr. curtis green mrs. juanita cowdery mrs. becky huggins mrs. sally kookesh mrs. lureen stedman mrs. laura wielechowski mrs. jo kuchle (sen. therriault) mrs. jane dyson mrs. dorothy wagoner mrs susan wilken mrs. nicole harris mrs. tanna chenault mr. kit dahlstrom mrs. cathy foster mrs. cathy gatto mrs_ carol carlson (rep. hawker) mrs. michelle johansen mrs. nancy johnson mrs. marlene lynn mrs. marty meyer mrs. joyce marie thomas mr. woody wilson mrs. peggy french mrs. marcy buch mr. bob doll mrs. kelly gara mr. michael gardner mrs. marilyn guttenberg mrs. linda joule mrs. adel neuman roston 01780 10/14/2009 released msnbc.com state alaska presented crivella west 
1007,call todd give a quick shout a chance. 465-3939. thanks! frank bailey director boards commissions office governor sarah palin 907.465.3934 - juneau 907.269.7450 - anchorage 1 roston 01781 released msnbc.com state alaska presented crivella west 
1008,rep. olson s spouse attending todd mona rep. olson s office called barbara olson attending luncheon. thanks erika erika fagerstrom executive residence manager governors house state ofalaska office governor 716 ca/boon avenue juneau alaska 99801 phone: 907465-3500; fax: 907465-2031 roston 01782 10/14/2009 released msnbc.com state alaska presented crivella west 
1009,correction: pr 08-044a governor palin appoints suicide prevention council 032708 correction : updated information immediate release no. 08-044a governor palin appoints suicide prevention council workforce investment board march 27 2008 juneau alaska - governor sarah palin today announced appointments suicide prevention council alaska workforce investment board. suicide prevention council governor palin appointed bernard gatewood fairbanks a four-year term state s suicide prevention council. council operates under state department health social services serves advisory capacity governor legislature respect actions taken improve health wellness throughout state reducing suicide effect individuals families communities. council works broaden public awareness suicide risk factors related suicide enhance suicide prevention services programs throughout state develop healthy communities through comprehensive collaborative community-based faith-based approaches. council develops implements a statewide suicide prevention plan provides partnerships between public private entities advance suicide- prevention efforts state. roston 01784 10/15/2009 released msnbc.com state alaska presented crivella west gatewood 25 years experience human services including education mental health juvenile corrections. a 20-year veteran state s division juvenile justice worked around state such facilities mclaughlin youth center anchorage fairbanks youth facility johnson youth center juneau. gatewood a past member fairbanks north star borough health social services commission. earned a bachelor s degree sociology howard university washington d.c. a master s degree counseling university la verne california. alaska workforce investment board governor palin filled seven vacancies workforce investment board. linda hulbert fairbanks david rees eagle river reappointed four-year terms. joined new board members sharlene berg talkeetna john cannon wasilla tony delia anchorage jim lynch fairbanks paulette schuerch anchorage appointed four-year terms. arm state department labor workforce development workforce investment board develops oversees implementation a comprehensive state human resource investment system. board works promote efficient effective integrated system employment education training programs services alaskans skills opportunities necessary earn a living wage meet future business needs state. hulbert a former educator a long history volunteer public service workforce readiness groups state local levels including service four different governors. currently serves vice chair interior alaska regional workforce board a past member fairbanks private industry council governor s council career vocational education state job training coordinating council alaska workforce board. earned a bachelor s degree education springfield college massachusetts. rees brings board 30 years experience alaska s oil industry jobs focused safety training workforce development within without industry. currently employed bp exploration alaska works senior technical resourcing specialist. a former educator rees currently chairs board alaska business/education compact. chairman board alaska process industry careers consortium extensive experience a variety state industry-related boards councils committees. rees earned a bachelor s degree chemistry stanford university a master s degree secondary education university oregon a master s degree physical science university portland oregon. berg a 35-year resident alaska worked tourism industry 18 years currently holds position director lodging cook inlet region inc. s alaska tourism division. serves board directors both alaska hotel lodging association mat-su chapter alaska travel industry association. previously berg lived worked denali national park served denali borough assembly. cannon 26 years work education training experience field service people developmental disabilities. 1987 executive director mat-su services children adults provides residential respite supported employment services valley residents developmental disabilities. cannon a certified trainer specializing prevention abuse neglect vulnerable adults. earned a bachelor s degree sociology iowa wesleyan college a master s degree human services program development administration university alaska anchorage. delia 33 years experience alaska oil gas industry . currently owner tony delia enterprises provides administrative management general consulting services . previously served executive director human resources arctic slope regional corporation service center . well-versed operations alaska s native regional corporations opportunities challenges workforce development alaska s oil industry. delia a member alyeska section 29 advisory board roston 01785 10/15/2009 released msnbc.com state alaska presented crivella west alaska process industry careers consortium. lynch a longtime alaskan extensive experience workforce development particularly health-care industry. employed chief human resources officer banner health s alaska facilities serves chairman interior regional advisory council workforce development. lynch a member alaska state hospital association s workforce development committee. earned a bachelor s degree accounting university alaska fairbanks a certified public accountant 1997. schuerch president copper river native corporation. experienced native issues a former tribal government services administrator maniilaq association kotzebue. schuerch served executive director inuit circumpolar conference a special assistant mayor northwest arctic borough. earned a bachelor s degree business administration a master s degree health services administration both alaska pacific university. roston 01786 10/15/2009 released msnbc.com state alaska presented crivella west 
